channel,sessions,share_of_sessions,engaged_rate,conversion,ci_low,ci_high,revenue_per_session_usd,small_sample
Organic Search,124228,0.34495416920048094,0.9527723218598062,0.012992240074701355,0.0123774187871803,0.013637179571252487,0.8478201371671443,False
Obfuscated,79862,0.22175942509489655,0.9368160076131327,0.016716335679046356,0.01585012221008758,0.017629039970378728,1.1507976259046855,False
Referral,67220,0.18665533739298973,0.7869086581374591,0.022478429038976497,0.021384830998907374,0.023626602344010227,1.688589705444808,False
Direct,55599,0.15438634489307998,0.9512581161531682,0.005683555459630569,0.005091929435334569,0.0063434836154805645,0.4256911095523301,False
Unknown,20020,0.05559119093435963,0.4182317682317682,0.0,0.0,0.00019184425172284685,0.0,False
Paid Search,11673,0.03241338520363536,0.9844941317570461,0.004026385676347126,0.0030294248107748823,0.00534967832476343,0.26676946800308404,False
Other,1330,0.003693121076058857,0.8180451127819549,0.0015037593984962407,0.000412481971568685,0.005466371792560596,0.1255639097744361,False
Email,197,0.0005470262044989434,0.9187817258883249,0.116751269035533,0.0790693843985773,0.16909381436983018,8.421319796954315,True
